"speaker","word","의미","동음이의","type","분석1","분석2","성조","지역","age","gender","N","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3","a1","a2","a3","b1","b2","b3","c1","c2","c3","d1","d2","d3","Wz","w1","w2","w3","w4","W3","W2","w1f","w2f","w3f","w4f","weight","weigth_comb","weigth_comb2","weigth_comb3","weigth_comb4"
"JBS","밭","","","고유어1","1","","H","부산",60,"여",1,"ㅂ","ㅏ","ㅌ"," "," ",""," "," ","","","","","lax","sg","obs","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","숨","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅜ","ㅁ"," "," ",""," "," ","","","","","fri","sg","son","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","귀","","","고유어1","1","","","부산",60,"여",1,"ㄱ","ㅟ",""," "," ",""," "," ","","","","","lax","dp","light","","","","","","","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"JBS","밀","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅁ","ㅣ","ㄹ"," "," ",""," "," ","","","","","son","","son","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","꿩","","","고유어1","1","","H","부산",60,"여",1,"ㄲ","ㅝ","ㅇ"," "," ",""," "," ","","","","","tsasp","dp","son","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","짚","","","고유어1","1","","","부산",60,"여",1,"ㅈ","ㅣ","ㅍ"," "," ",""," "," ","","","","","lax","","obs","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","뼈","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅃ","ㅕ",""," "," ",""," "," ","","","","","tsasp","dp","light","","","","","","","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"JBS","떼","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄸ","ㅔ",""," "," ",""," "," ","","","","","tsasp","sg","light","","","","","","","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"JBS","깨","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄲ","ㅐ",""," "," ",""," "," ","","","","","tsasp","sg","light","","","","","","","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"JBS","숯","","","고유어1","1","","H","부산",60,"여",1,"ㅅ","ㅜ","ㅊ"," "," ",""," "," ","","","","","fri","sg","obs","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","끈","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㄲ","ㅡ","ㄴ"," "," ",""," "," ","","","","","tsasp","sg","son","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","겉","","","고유어1","1","","H","부산",60,"여",1,"ㄱ","ㅓ","ㅌ"," "," ",""," "," ","","","","","lax","sg","obs","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","속","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅗ","ㄱ"," "," ",""," "," ","","","","","fri","sg","obs","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","솔","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅗ","ㄹ"," "," ",""," "," ","","","","","fri","sg","son","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","앞","","","고유어1","1","","H","부산",60,"여",1,"ㅇ","ㅏ","ㅍ"," "," ",""," "," ","","","","","son","sg","obs","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","팥","","","고유어1","1","","","부산",60,"여",1,"ㅍ","ㅏ","ㅌ"," "," ",""," "," ","","","","","tsasp","sg","obs","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","때","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄸ","ㅐ",""," "," ",""," "," ","","","","","tsasp","sg","light","","","","","","","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"JBS","파","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅍ","ㅏ",""," "," ",""," "," ","","","","","tsasp","sg","light","","","","","","","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"JBS","솥","","","고유어1","1","","H","부산",60,"여",1,"ㅅ","ㅗ","ㅌ"," "," ",""," "," ","","","","","fri","sg","obs","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","혀","","","고유어1","1","","","부산",60,"여",1,"ㅎ","ㅕ",""," "," ",""," "," ","","","","","fri","dp","light","","","","","","","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"JBS","꽃","","","고유어1","1","","H","부산",60,"여",1,"ㄲ","ㅗ","ㅊ"," "," ",""," "," ","","","","","tsasp","sg","obs","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","샘","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅐ","ㅁ"," "," ",""," "," ","","","","","fri","sg","son","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"JBS","털","","","고유어1","1","","H","부산",60,"여",1,"ㅌ","ㅓ","ㄹ"," "," ",""," "," ","","","","","tsasp","sg","son","","","","","","","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
