"speaker","word","의미","동음이의","type","분석1","분석2","성조","지역","age","gender","N","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3","a1","a2","a3","b1","b2","b3","c1","c2","c3","d1","d2","d3"
"JBS","밭","","","고유어1","1","","H","부산",60,"여",1,"ㅂ","ㅏ","ㅌ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","숨","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅜ","ㅁ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","귀","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㄱ","ㅟ",""," "," ",""," "," ","","","","","평파열음_평파찰음","dp","개음절","","","","","","","","",""
"JBS","밀","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅁ","ㅣ","ㄹ"," "," ",""," "," ","","","","","공명음","","폐음절_공명자음","","","","","","","","",""
"JBS","꿩","","","고유어1","1","","H","부산",60,"여",1,"ㄲ","ㅝ","ㅇ"," "," ",""," "," ","","","","","유기음_경음","dp","폐음절_공명자음","","","","","","","","",""
"JBS","짚","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅈ","ㅣ","ㅍ"," "," ",""," "," ","","","","","평파열음_평파찰음","","폐음절_평파열음","","","","","","","","",""
"JBS","뼈","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅃ","ㅕ",""," "," ",""," "," ","","","","","유기음_경음","dp","개음절","","","","","","","","",""
"JBS","떼","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄸ","ㅔ",""," "," ",""," "," ","","","","","유기음_경음","sg","개음절","","","","","","","","",""
"JBS","깨","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄲ","ㅐ",""," "," ",""," "," ","","","","","유기음_경음","sg","개음절","","","","","","","","",""
"JBS","숯","","","고유어1","1","","H","부산",60,"여",1,"ㅅ","ㅜ","ㅊ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","끈","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㄲ","ㅡ","ㄴ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","겉","","","고유어1","1","","H","부산",60,"여",1,"ㄱ","ㅓ","ㅌ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","속","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅗ","ㄱ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","솔","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅗ","ㄹ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","앞","","","고유어1","1","","H","부산",60,"여",1,"ㅇ","ㅏ","ㅍ"," "," ",""," "," ","","","","","공명음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","팥","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅍ","ㅏ","ㅌ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","때","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄸ","ㅐ",""," "," ",""," "," ","","","","","유기음_경음","sg","개음절","","","","","","","","",""
"JBS","파","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅍ","ㅏ",""," "," ",""," "," ","","","","","유기음_경음","sg","개음절","","","","","","","","",""
"JBS","솥","","","고유어1","1","","H","부산",60,"여",1,"ㅅ","ㅗ","ㅌ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","혀","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅎ","ㅕ",""," "," ",""," "," ","","","","","마찰음","dp","개음절","","","","","","","","",""
"JBS","꽃","","","고유어1","1","","H","부산",60,"여",1,"ㄲ","ㅗ","ㅊ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","샘","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅐ","ㅁ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","털","","","고유어1","1","","H","부산",60,"여",1,"ㅌ","ㅓ","ㄹ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","덫","","","고유어1","1","","","부산",60,"여",1,"ㄷ","ㅓ","ㅊ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","술","","","고유어1","1","","H","부산",60,"여",1,"ㅅ","ㅜ","ㄹ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","코","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅋ","ㅗ",""," "," ",""," "," ","","","","","유기음_경음","sg","개음절","","","","","","","","",""
"JBS","김","","","고유어1","1","","L","부산",60,"여",1,"ㄱ","ㅣ","ㅁ"," "," ",""," "," ","","","","","평파열음_평파찰음","","폐음절_공명자음","","","","","","","","",""
"JBS","새","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅐ",""," "," ",""," "," ","","","","","마찰음","sg","개음절","","","","","","","","",""
"JBS","덤","","","고유어1","1","","H","부산",60,"여",1,"ㄷ","ㅓ","ㅁ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","국","","","고유어1","1","","H","부산",60,"여",1,"ㄱ","ㅜ","ㄱ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","방","","","고유어1","1","","H","부산",60,"여",1,"ㅂ","ㅏ","ㅇ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","무","","","고유어1","1","","H","부산",60,"여",1,"ㅁ","ㅜ",""," "," ",""," "," ","","","","","공명음","sg","개음절","","","","","","","","",""
"JBS","밥","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㅂ","ㅏ","ㅂ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","게","","","고유어1","1","","L","부산",60,"여",1,"ㄱ","ㅔ",""," "," ",""," "," ","","","","","평파열음_평파찰음","sg","개음절","","","","","","","","",""
"JBS","낯","","","고유어1","1","","H","부산",60,"여",1,"ㄴ","ㅏ","ㅊ"," "," ",""," "," ","","","","","공명음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","볼","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㅂ","ㅗ","ㄹ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","물","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅁ","ㅜ","ㄹ"," "," ",""," "," ","","","","","공명음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","남","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄴ","ㅏ","ㅁ"," "," ",""," "," ","","","","","공명음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","들","","","고유어1","1","","L","부산",60,"여",1,"ㄷ","ㅡ","ㄹ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","젖","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅈ","ㅓ","ㅈ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","둘","","","고유어1","1","","L","부산",60,"여",1,"ㄷ","ㅜ","ㄹ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","삽","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅅ","ㅏ","ㅂ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","목","","","고유어1","1","","H","부산",60,"여",1,"ㅁ","ㅗ","ㄱ"," "," ",""," "," ","","","","","공명음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","돈","","","고유어1","1","","L","부산",60,"여",1,"ㄷ","ㅗ","ㄴ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","쥐","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅈ","ㅟ",""," "," ",""," "," ","","","","","평파열음_평파찰음","dp","개음절","","","","","","","","",""
"JBS","빗","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅂ","ㅣ","ㅅ"," "," ",""," "," ","","","","","평파열음_평파찰음","","폐음절_평파열음","","","","","","","","",""
"JBS","쇠","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅅ","ㅚ",""," "," ",""," "," ","","","","","마찰음","dp","개음절","","","","","","","","",""
"JBS","소","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅅ","ㅗ",""," "," ",""," "," ","","","","","마찰음","sg","개음절","","","","","","","","",""
"JBS","뼘","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅃ","ㅕ","ㅁ"," "," ",""," "," ","","","","","유기음_경음","dp","폐음절_공명자음","","","","","","","","",""
"JBS","글","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄱ","ㅡ","ㄹ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","낮","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㄴ","ㅏ","ㅈ"," "," ",""," "," ","","","","","공명음","sg","폐음절_평파열음","","","","","","","","",""
